[2026-07-19 09:48:45,964][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:46,026][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:46,061][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:46,123][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:46,155][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:46,221][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:46,949][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,008][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,343][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,406][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,442][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,533][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,750][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,817][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,847][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:47,909][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:48,367][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:48,435][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:48,460][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:48,529][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:48,995][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:49,073][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:49,101][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:49,172][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:49,198][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:49,254][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:49,707][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:49,785][faster_whisper][INFO] - Processing audio with duration 00:09.996
